timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.568678	0.568678	0	0.849685	0.849685	0	-5.14459	-5.14459	0	-4.29491	-4.29491	0	-0.769487	-0.769487	0
100201	0.605807	0.587285	0.000138627	0.905162	0.877487	20.282	-5.20011	-5.17241	20.2963	-4.29494	-4.29492	6.13238e-06	-0.976386	-0.873079	0.00460099
100401	0.587786	0.586546	0.000216282	0.878235	0.876382	31.6434	-5.17342	-5.17138	31.6806	-4.29518	-4.295	0.000606809	-0.927261	-0.872739	0.0084224
100601	0.551217	0.579083	0.000320507	0.823596	0.865231	46.8922	-5.11856	-5.16026	46.9051	-4.29496	-4.29502	0.000638362	-0.82882	-0.861005	0.00645869
100801	0.557319	0.575016	0.000353141	0.832713	0.859154	51.6667	-5.1276	-5.15415	51.7478	-4.29489	-4.295	0.000635018	-0.883791	-0.877097	0.00690407
101001	0.556976	0.571345	0.00034273	0.8322	0.85367	50.1435	-5.12726	-5.14867	50.2213	-4.29506	-4.295	0.000558676	-0.762582	-0.869594	0.00596973
101201	0.59424	0.570726	0.000313572	0.887879	0.852744	45.8775	-5.18281	-5.14774	45.9265	-4.29493	-4.295	0.000487437	-1.03715	-0.859973	0.00724616
101401	0.583487	0.571267	0.000299979	0.871811	0.853553	43.8888	-5.16671	-5.14854	43.9223	-4.2949	-4.29499	0.000465605	-1.03791	-0.875707	0.00834055
101601	0.565477	0.572421	0.000283765	0.844903	0.855277	41.5166	-5.13987	-5.15025	41.5246	-4.29497	-4.29497	0.0005405	-0.850706	-0.889937	0.00922288
101801	0.553257	0.570599	0.000290067	0.826644	0.852556	42.4387	-5.12203	-5.14756	42.3323	-4.29539	-4.295	0.00119808	-0.734855	-0.873579	0.0107177
102001	0.566499	0.570498	0.000310815	0.846429	0.852405	45.4741	-5.14122	-5.14742	45.3245	-4.29479	-4.29501	0.00134456	-0.907924	-0.87344	0.0118716
