timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	1.31743	1.31743	0	1.96842	1.96842	0	-4.39127	-4.39127	0	-2.42285	-2.42285	0	1.69308	1.69308	0
100201	1.33391	1.28745	0.00108802	1.99305	1.92363	159.184	-4.41604	-4.34661	158.872	-2.42299	-2.42298	0.000264391	1.67879	1.94636	0.0440944
100401	1.41513	1.32819	0.00256589	2.1144	1.9845	375.406	-4.53722	-4.40746	375.024	-2.42281	-2.42296	0.000295754	0.981139	1.6745	0.119692
100601	1.38961	1.34364	0.0026142	2.07628	2.00758	382.474	-4.49885	-4.43044	381.578	-2.42257	-2.42286	0.00169331	1.08374	1.4874	0.160913
100801	1.33216	1.34619	0.00202021	1.99043	2.0114	295.569	-4.41309	-4.43419	294.79	-2.42266	-2.42279	0.00211578	1.42652	1.43132	0.131358
101001	1.37016	1.3408	0.00200569	2.04721	2.00335	293.444	-4.46966	-4.42608	293.071	-2.42245	-2.42274	0.00263026	1.33988	1.46709	0.116869
101201	1.33937	1.34366	0.00179968	2.00121	2.00762	263.304	-4.42378	-4.43032	262.88	-2.42257	-2.42269	0.00285751	1.51165	1.46009	0.099817
101401	1.38495	1.34575	0.00175369	2.06931	2.01074	256.576	-4.49235	-4.43345	256.369	-2.42304	-2.42271	0.00279889	1.18298	1.45349	0.0921928
101601	1.33918	1.34741	0.00166252	2.00093	2.01322	243.237	-4.42409	-4.43599	243.158	-2.42316	-2.42277	0.00382776	1.52936	1.44016	0.0861427
101801	1.31326	1.3449	0.00159923	1.9622	2.00948	233.977	-4.38502	-4.43227	233.856	-2.42282	-2.42279	0.00375426	1.68575	1.46509	0.0833548
102001	1.35023	1.34384	0.0015253	2.01744	2.00789	223.161	-4.44005	-4.43067	223.074	-2.42261	-2.42278	0.00344363	1.35865	1.4702	0.0775435
102201	1.37716	1.34397	0.00142548	2.05767	2.00808	208.557	-4.48033	-4.43084	208.477	-2.42266	-2.42276	0.00340503	1.36018	1.46732	0.0716411
102401	1.2795	1.34123	0.00146281	1.91175	2.00398	214.019	-4.33468	-4.42675	213.893	-2.42293	-2.42277	0.00318335	1.93955	1.4918	0.0745339
102601	1.39181	1.34327	0.00166554	2.07957	2.00704	243.679	-4.50234	-4.42981	243.582	-2.42277	-2.42278	0.00300398	1.26021	1.4914	0.0758372
102801	1.37673	1.3459	0.00173867	2.05704	2.01096	254.379	-4.47968	-4.43372	254.249	-2.42264	-2.42277	0.00289193	1.26281	1.4741	0.076266
103001	1.3189	1.34474	0.00166906	1.97062	2.00924	244.194	-4.39345	-4.432	244.062	-2.42284	-2.42277	0.00272961	1.65829	1.48017	0.072773
103201	1.34638	1.34636	0.00162903	2.01168	2.01165	238.337	-4.43456	-4.43442	238.241	-2.42288	-2.42277	0.00259179	1.51775	1.47693	0.0690959
103401	1.40652	1.34775	0.00164936	2.10154	2.01372	241.312	-4.52442	-4.4365	241.244	-2.42288	-2.42278	0.0024554	1.05512	1.46731	0.0697578
103601	1.28072	1.34743	0.00159883	1.91358	2.01325	233.919	-4.33618	-4.43603	233.874	-2.42259	-2.42277	0.00236226	1.70427	1.46386	0.0671352
