time-step	lambda
0	-0.999984
1	-0.999936
2	-0.999856
3	-0.999744
4	-0.9996
5	-0.999424
6	-0.999216
7	-0.998977
8	-0.998705
9	-0.998401
10	-0.998066
11	-0.997699
12	-0.997299
13	-0.996868
14	-0.996406
15	-0.995911
16	-0.995385
17	-0.994827
18	-0.994237
19	-0.993616
20	-0.992963
21	-0.992279
22	-0.991563
23	-0.990816
24	-0.990038
25	-0.989228
26	-0.988387
27	-0.987514
28	-0.986611
29	-0.985677
30	-0.984711
31	-0.983715
32	-0.982688
33	-0.98163
34	-0.980542
35	-0.979423
36	-0.978274
37	-0.977094
38	-0.975884
39	-0.974644
40	-0.973374
41	-0.972075
42	-0.970745
43	-0.969386
44	-0.967997
45	-0.96658
46	-0.965132
47	-0.963656
48	-0.962152
49	-0.960618
50	-0.959056
51	-0.957466
52	-0.955847
53	-0.954201
54	-0.952527
55	-0.950826
56	-0.949097
57	-0.947341
58	-0.945559
59	-0.94375
60	-0.941915
61	-0.940053
62	-0.938167
63	-0.936254
64	-0.934317
65	-0.932354
66	-0.930368
67	-0.928357
68	-0.926322
69	-0.924264
70	-0.922182
71	-0.920078
72	-0.917952
73	-0.915804
74	-0.913634
75	-0.911443
76	-0.909232
77	-0.907
78	-0.904748
79	-0.902477
80	-0.900188
81	-0.89788
82	-0.895554
83	-0.893211
84	-0.890851
85	-0.888475
86	-0.886083
87	-0.883676
88	-0.881255
89	-0.878819
90	-0.876371
91	-0.873909
92	-0.871435
93	-0.86895
94	-0.866454
95	-0.863948
96	-0.861431
97	-0.858906
98	-0.856373
99	-0.853832
100	-0.851283
101	-0.848729
102	-0.846168
103	-0.843602
104	-0.841032
105	-0.838459
106	-0.835882
107	-0.833302
108	-0.830721
109	-0.828138
110	-0.825555
111	-0.822972
112	-0.82039
113	-0.817809
114	-0.81523
115	-0.812654
116	-0.810081
117	-0.807511
118	-0.804946
119	-0.802386
120	-0.799831
121	-0.797282
122	-0.794739
123	-0.792204
124	-0.789676
125	-0.787156
126	-0.784644
127	-0.782142
128	-0.779648
129	-0.777165
130	-0.774691
131	-0.772228
132	-0.769776
133	-0.767335
134	-0.764906
135	-0.762488
136	-0.760083
137	-0.75769
138	-0.75531
139	-0.752942
140	-0.750588
141	-0.748247
142	-0.74592
143	-0.743606
144	-0.741307
145	-0.739021
146	-0.736749
147	-0.734492
