time-step	lambda
0	-0.999975
1	-0.999902
2	-0.999779
3	-0.999606
4	-0.999385
5	-0.999114
6	-0.998795
7	-0.998426
8	-0.998008
9	-0.997541
10	-0.997025
11	-0.996461
12	-0.995847
13	-0.995185
14	-0.994473
15	-0.993714
16	-0.992905
17	-0.992048
18	-0.991143
19	-0.990189
20	-0.989187
21	-0.988137
22	-0.987039
23	-0.985893
24	-0.9847
25	-0.983458
26	-0.98217
27	-0.980834
28	-0.979451
29	-0.97802
30	-0.976544
31	-0.97502
32	-0.97345
33	-0.971834
34	-0.970172
35	-0.968464
36	-0.966711
37	-0.964913
38	-0.963069
39	-0.961181
40	-0.959249
41	-0.957272
42	-0.955252
43	-0.953188
44	-0.951081
45	-0.948932
46	-0.94674
47	-0.944506
48	-0.942231
49	-0.939915
50	-0.937558
51	-0.935161
52	-0.932724
53	-0.930248
54	-0.927733
55	-0.925181
56	-0.92259
57	-0.919963
58	-0.9173
59	-0.914601
60	-0.911867
61	-0.909099
62	-0.906297
63	-0.903463
64	-0.900596
65	-0.897698
66	-0.894769
67	-0.891811
68	-0.888825
69	-0.88581
70	-0.882768
71	-0.879701
72	-0.876608
73	-0.873492
74	-0.870352
75	-0.867191
76	-0.864009
77	-0.860807
78	-0.857586
79	-0.854348
80	-0.851094
81	-0.847824
82	-0.844541
83	-0.841245
84	-0.837937
85	-0.834619
86	-0.831293
87	-0.827958
88	-0.824617
89	-0.821271
90	-0.817921
91	-0.814569
92	-0.811215
93	-0.807861
94	-0.804509
95	-0.801159
96	-0.797812
97	-0.794471
98	-0.791136
99	-0.787808
100	-0.784489
101	-0.781179
102	-0.77788
103	-0.774593
104	-0.771319
105	-0.768059
106	-0.764814
107	-0.761585
108	-0.758373
109	-0.755178
110	-0.752002
111	-0.748845
112	-0.745709
113	-0.742593
114	-0.739499
115	-0.736427
116	-0.733378
117	-0.730352
118	-0.72735
119	-0.724373
120	-0.72142
121	-0.718492
122	-0.71559
123	-0.712713
124	-0.709863
125	-0.707039
126	-0.704241
127	-0.70147
128	-0.698725
129	-0.696008
130	-0.693317
131	-0.690653
132	-0.688016
133	-0.685406
134	-0.682823
135	-0.680266
136	-0.677736
137	-0.675232
138	-0.672754
139	-0.670303
140	-0.667877
141	-0.665477
142	-0.663103
143	-0.660753
144	-0.658428
145	-0.656128
146	-0.653853
147	-0.651601
148	-0.649372
149	-0.647167
150	-0.644986
151	-0.642826
152	-0.640689
153	-0.638574
154	-0.636481
155	-0.634409
156	-0.632357
157	-0.630326
158	-0.628316
159	-0.626325
160	-0.624353
161	-0.622401
162	-0.620467
163	-0.618552
164	-0.616655
165	-0.614775
166	-0.612913
167	-0.611068
168	-0.609239
169	-0.607427
170	-0.60563
171	-0.60385
172	-0.602085
173	-0.600335
174	-0.598599
175	-0.596879
176	-0.595172
177	-0.593479
178	-0.591801
179	-0.590135
180	-0.588483
181	-0.586844
182	-0.585218
183	-0.583604
184	-0.582003
185	-0.580414
186	-0.578836
187	-0.577271
188	-0.575718
189	-0.574176
190	-0.572645
191	-0.571125
192	-0.569617
193	-0.56812
194	-0.566634
195	-0.565158
196	-0.563693
197	-0.562239
198	-0.560796
199	-0.559362
200	-0.55794
201	-0.556528
202	-0.555126
203	-0.553734
204	-0.552353
205	-0.550982
206	-0.549621
207	-0.54827
208	-0.546929
209	-0.545599
210	-0.544279
211	-0.542968
212	-0.541668
213	-0.540378
214	-0.539097
215	-0.537827
216	-0.536567
217	-0.535316
218	-0.534076
219	-0.532845
220	-0.531624
221	-0.530413
222	-0.529212
223	-0.52802
224	-0.526838
225	-0.525666
226	-0.524503
227	-0.523349
228	-0.522205
229	-0.52107
230	-0.519944
231	-0.518828
232	-0.51772
233	-0.516621
234	-0.515531
235	-0.51445
236	-0.513378
237	-0.512313
238	-0.511258
239	-0.51021
240	-0.509171
241	-0.508139
242	-0.507116
243	-0.5061
244	-0.505092
245	-0.504091
246	-0.503098
247	-0.502111
248	-0.501132
249	-0.50016
250	-0.499194
251	-0.498236
252	-0.497283
253	-0.496337
254	-0.495397
255	-0.494463
256	-0.493535
257	-0.492612
258	-0.491695
259	-0.490784
260	-0.489878
261	-0.488976
262	-0.48808
263	-0.487189
264	-0.486302
265	-0.485419
266	-0.484541
267	-0.483667
268	-0.482797
269	-0.481931
270	-0.481069
271	-0.48021
272	-0.479355
273	-0.478503
274	-0.477654
275	-0.476808
276	-0.475965
277	-0.475125
278	-0.474287
279	-0.473452
280	-0.47262
281	-0.471789
282	-0.470961
283	-0.470135
284	-0.469311
285	-0.468489
286	-0.467669
287	-0.46685
288	-0.466034
289	-0.465218
290	-0.464405
291	-0.463592
292	-0.462782
293	-0.461972
294	-0.461164
295	-0.460357
296	-0.459551
297	-0.458746
298	-0.457943
299	-0.45714
300	-0.456338
301	-0.455538
302	-0.454738
303	-0.453939
304	-0.453142
305	-0.452345
306	-0.451548
307	-0.450753
308	-0.449958
309	-0.449164
310	-0.448371
311	-0.447578
312	-0.446787
313	-0.445995
314	-0.445205
315	-0.444415
316	-0.443625
317	-0.442836
318	-0.442048
319	-0.44126
320	-0.440472
321	-0.439685
322	-0.438898
323	-0.438112
324	-0.437326
325	-0.43654
326	-0.435755
327	-0.43497
328	-0.434185
329	-0.4334
330	-0.432616
331	-0.431831
332	-0.431047
333	-0.430263
334	-0.429479
335	-0.428695
336	-0.427911
337	-0.427126
338	-0.426342
339	-0.425558
340	-0.424774
341	-0.423989
342	-0.423204
343	-0.42242
344	-0.421635
345	-0.42085
346	-0.420065
347	-0.41928
348	-0.418494
349	-0.417709
350	-0.416923
351	-0.416138
352	-0.415352
353	-0.414566
354	-0.41378
355	-0.412995
356	-0.412209
357	-0.411423
358	-0.410637
359	-0.409852
360	-0.409066
361	-0.40828
362	-0.407495
363	-0.406709
364	-0.405924
365	-0.405139
366	-0.404353
367	-0.403568
368	-0.402782
369	-0.401997
370	-0.401211
371	-0.400425
372	-0.399638
373	-0.398852
374	-0.398064
375	-0.397276
376	-0.396488
377	-0.395699
378	-0.394909
379	-0.394118
380	-0.393326
381	-0.392533
382	-0.391739
383	-0.390944
384	-0.390147
385	-0.389349
386	-0.38855
387	-0.38775
388	-0.386948
389	-0.386144
390	-0.38534
391	-0.384533
392	-0.383726
393	-0.382916
394	-0.382106
395	-0.381294
396	-0.38048
397	-0.379666
398	-0.37885
399	-0.378033
400	-0.377214
401	-0.376395
402	-0.375574
403	-0.374753
404	-0.37393
405	-0.373107
406	-0.372284
407	-0.371459
408	-0.370635
409	-0.36981
410	-0.368984
411	-0.368159
412	-0.367333
413	-0.366508
414	-0.365683
415	-0.364858
416	-0.364034
417	-0.36321
418	-0.362388
419	-0.361566
420	-0.360745
421	-0.359926
422	-0.359108
423	-0.358291
424	-0.357476
425	-0.356663
426	-0.355852
427	-0.355043
428	-0.354237
429	-0.353433
430	-0.352631
431	-0.351832
432	-0.351037
433	-0.350244
434	-0.349455
435	-0.348669
436	-0.347886
437	-0.347108
438	-0.346333
439	-0.345562
440	-0.344796
441	-0.344034
442	-0.343276
443	-0.342523
444	-0.341775
445	-0.341032
446	-0.340294
447	-0.339561
448	-0.338833
449	-0.338112
450	-0.337395
451	-0.336685
452	-0.33598
453	-0.335281
454	-0.334588
455	-0.333902
456	-0.333222
457	-0.332548
458	-0.33188
459	-0.331219
460	-0.330564
461	-0.329916
462	-0.329275
463	-0.32864
464	-0.328012
465	-0.32739
466	-0.326775
467	-0.326166
468	-0.325564
469	-0.324968
470	-0.324379
471	-0.323796
472	-0.32322
473	-0.322649
474	-0.322085
475	-0.321526
476	-0.320973
477	-0.320426
478	-0.319885
479	-0.319348
480	-0.318817
481	-0.318292
482	-0.317771
483	-0.317255
484	-0.316743
485	-0.316236
486	-0.315734
487	-0.315235
488	-0.314741
489	-0.31425
490	-0.313763
491	-0.31328
492	-0.3128
493	-0.312324
494	-0.31185
495	-0.31138
496	-0.310913
497	-0.310448
498	-0.309986
499	-0.309527
500	-0.30907
501	-0.308615
502	-0.308163
503	-0.307713
504	-0.307265
505	-0.306819
506	-0.306375
507	-0.305933
508	-0.305493
509	-0.305055
510	-0.304618
511	-0.304183
512	-0.303749
513	-0.303317
514	-0.302886
515	-0.302457
516	-0.302028
517	-0.301602
518	-0.301176
519	-0.300751
520	-0.300328
521	-0.299905
522	-0.299484
523	-0.299063
524	-0.298643
525	-0.298224
526	-0.297806
527	-0.297389
528	-0.296972
529	-0.296556
530	-0.296141
531	-0.295726
532	-0.295312
533	-0.294898
534	-0.294485
535	-0.294073
536	-0.293661
537	-0.29325
538	-0.292839
539	-0.292428
540	-0.292019
541	-0.291609
542	-0.291201
543	-0.290792
544	-0.290385
545	-0.289977
546	-0.289571
547	-0.289165
548	-0.288759
549	-0.288355
550	-0.28795
551	-0.287547
552	-0.287144
553	-0.286742
554	-0.28634
555	-0.285939
556	-0.285539
557	-0.285139
558	-0.28474
559	-0.284342
560	-0.283944
561	-0.283547
562	-0.283151
563	-0.282756
564	-0.282361
565	-0.281966
566	-0.281573
567	-0.281179
568	-0.280787
569	-0.280395
570	-0.280003
571	-0.279612
572	-0.279222
573	-0.278831
574	-0.278441
575	-0.278052
576	-0.277663
577	-0.277274
578	-0.276885
579	-0.276496
580	-0.276108
581	-0.275719
582	-0.275331
583	-0.274943
584	-0.274554
585	-0.274166
586	-0.273778
587	-0.273389
588	-0.273
589	-0.272611
590	-0.272222
591	-0.271833
592	-0.271443
593	-0.271053
594	-0.270663
595	-0.270272
596	-0.269881
597	-0.26949
598	-0.269098
599	-0.268706
600	-0.268314
601	-0.26792
602	-0.267527
603	-0.267133
604	-0.266739
605	-0.266344
606	-0.265948
607	-0.265552
608	-0.265156
609	-0.264759
610	-0.264361
611	-0.263963
612	-0.263564
613	-0.263165
614	-0.262765
615	-0.262364
616	-0.261963
617	-0.261561
618	-0.261159
619	-0.260755
620	-0.260351
621	-0.259947
622	-0.259541
623	-0.259135
624	-0.258728
625	-0.258321
626	-0.257912
627	-0.257503
628	-0.257093
629	-0.256682
630	-0.256271
631	-0.255858
632	-0.255445
633	-0.255031
634	-0.254616
635	-0.254201
636	-0.253785
637	-0.253367
638	-0.25295
639	-0.252531
640	-0.252112
641	-0.251692
642	-0.251271
643	-0.25085
644	-0.250428
645	-0.250006
646	-0.249583
647	-0.24916
648	-0.248737
649	-0.248313
650	-0.247889
651	-0.247464
652	-0.24704
653	-0.246615
654	-0.24619
655	-0.245765
656	-0.24534
657	-0.244916
658	-0.244491
659	-0.244066
660	-0.243642
661	-0.243218
662	-0.242793
663	-0.24237
664	-0.241946
665	-0.241523
666	-0.2411
667	-0.240678
668	-0.240255
669	-0.239834
670	-0.239412
671	-0.238991
672	-0.23857
673	-0.238149
674	-0.237728
675	-0.237308
676	-0.236887
677	-0.236467
678	-0.236047
679	-0.235627
680	-0.235206
681	-0.234786
682	-0.234365
683	-0.233945
684	-0.233523
685	-0.233102
686	-0.23268
687	-0.232258
688	-0.231835
689	-0.231411
690	-0.230987
691	-0.230562
692	-0.230136
693	-0.22971
694	-0.229282
695	-0.228854
696	-0.228425
697	-0.227994
698	-0.227563
699	-0.227131
700	-0.226698
701	-0.226263
702	-0.225827
703	-0.225391
704	-0.224953
705	-0.224514
706	-0.224074
707	-0.223633
708	-0.22319
709	-0.222747
710	-0.222302
711	-0.221857
712	-0.22141
713	-0.220962
714	-0.220513
715	-0.220064
716	-0.219613
717	-0.219162
718	-0.218709
719	-0.218256
720	-0.217802
721	-0.217348
722	-0.216893
723	-0.216437
724	-0.215981
725	-0.215524
726	-0.215067
727	-0.21461
728	-0.214152
729	-0.213694
730	-0.213236
731	-0.212778
732	-0.21232
733	-0.211862
734	-0.211404
735	-0.210947
736	-0.21049
737	-0.210033
738	-0.209577
739	-0.209121
740	-0.208666
741	-0.208211
742	-0.207758
743	-0.207305
744	-0.206853
745	-0.206402
746	-0.205951
747	-0.205502
748	-0.205054
749	-0.204608
750	-0.204162
751	-0.203718
752	-0.203275
753	-0.202833
754	-0.202393
755	-0.201955
756	-0.201517
757	-0.201081
758	-0.200647
759	-0.200214
760	-0.199783
761	-0.199353
762	-0.198925
763	-0.198498
764	-0.198073
765	-0.19765
766	-0.197228
767	-0.196808
768	-0.196389
769	-0.195972
770	-0.195557
771	-0.195143
772	-0.194731
773	-0.19432
774	-0.193911
775	-0.193504
776	-0.193099
777	-0.192695
778	-0.192292
779	-0.191892
780	-0.191493
781	-0.191096
782	-0.1907
783	-0.190306
784	-0.189914
785	-0.189524
786	-0.189135
787	-0.188749
788	-0.188363
789	-0.18798
790	-0.187598
791	-0.187218
792	-0.18684
793	-0.186463
794	-0.186088
795	-0.185715
796	-0.185343
797	-0.184973
798	-0.184605
799	-0.184237
800	-0.183872
801	-0.183508
802	-0.183145
803	-0.182783
804	-0.182423
805	-0.182064
806	-0.181706
807	-0.181349
808	-0.180994
809	-0.180639
810	-0.180285
811	-0.179932
812	-0.17958
813	-0.179229
814	-0.178878
815	-0.178528
816	-0.178178
817	-0.177829
818	-0.17748
819	-0.177132
820	-0.176784
821	-0.176436
822	-0.176088
823	-0.175741
824	-0.175393
825	-0.175046
826	-0.174698
827	-0.17435
828	-0.174002
829	-0.173654
830	-0.173306
831	-0.172957
832	-0.172609
833	-0.17226
834	-0.17191
835	-0.17156
836	-0.17121
837	-0.170859
838	-0.170508
839	-0.170157
840	-0.169805
841	-0.169453
842	-0.169101
843	-0.168748
844	-0.168395
845	-0.168041
846	-0.167688
847	-0.167334
848	-0.166979
849	-0.166625
850	-0.16627
851	-0.165916
852	-0.165561
853	-0.165206
854	-0.164852
855	-0.164497
856	-0.164143
857	-0.163788
858	-0.163434
859	-0.16308
860	-0.162727
861	-0.162374
862	-0.162021
863	-0.161668
864	-0.161316
865	-0.160965
866	-0.160614
867	-0.160263
868	-0.159913
869	-0.159564
870	-0.159215
871	-0.158866
872	-0.158519
873	-0.158171
874	-0.157825
875	-0.157479
876	-0.157134
877	-0.156789
878	-0.156445
879	-0.156101
880	-0.155758
881	-0.155415
882	-0.155073
883	-0.154732
884	-0.154391
885	-0.15405
886	-0.15371
887	-0.15337
888	-0.153031
889	-0.152692
890	-0.152353
891	-0.152015
892	-0.151677
893	-0.15134
894	-0.151002
895	-0.150665
896	-0.150329
897	-0.149992
