T_{set}            	T_{sys}              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
2.0	1.32884	1.35479	0.00131394	1.98547	2.02425	192.237	-4.40807	-4.44709	192.35	-2.4226	-2.42284	0.00235996	1.70375	1.45076	0.0493259
1.5	0.985249	1.00382	0.000813572	1.4721	1.49984	119.031	-4.64185	-4.66982	119.14	-3.16974	-3.16997	0.00358663	0.394384	0.316813	0.0344889
1.0	0.699506	0.671148	0.000479307	1.04516	1.00279	70.1257	-4.96342	-4.92021	70.6851	-3.91826	-3.91742	0.00929772	-0.867424	-0.840832	0.0270473
0.8	0.628567	0.58706	0.000728237	0.939167	0.877151	106.546	-5.16023	-5.09574	111.066	-4.22106	-4.21859	0.0894379	-0.727864	-0.951791	0.0461439
0.75	0.578445	0.582316	0.000617275	0.864278	0.870062	90.3111	-5.15899	-5.16496	93.5226	-4.29471	-4.2949	0.0666284	-0.846621	-0.877329	0.0338128
0.7	0.607516	0.566072	0.000541697	0.907715	0.845792	79.2536	-5.28043	-5.21621	82.3143	-4.37272	-4.37042	0.0749947	-0.568119	-0.888387	0.0395136
0.65	0.493849	0.548089	0.000543443	0.73788	0.818922	79.509	-5.18178	-5.26486	82.4235	-4.4439	-4.44593	0.0666518	-1.00684	-0.898875	0.0366864
0.6	0.572385	0.536771	0.000489682	0.855224	0.802011	71.6436	-5.37821	-5.32387	73.9078	-4.52299	-4.52185	0.0499039	-0.76228	-0.886808	0.0265937
0.5	0.498068	0.503421	0.000471462	0.744184	0.752182	68.9779	-5.41774	-5.42532	71.6647	-4.67355	-4.67314	0.0621835	-0.830439	-0.89856	0.0371733
0.3	0.437778	0.439284	0.000350912	0.654102	0.656353	51.3406	-5.62965	-5.63189	53.3732	-4.97555	-4.97553	0.056467	-0.927506	-0.963505	0.03281
0.1	0.396203	0.391835	0.000266557	0.591982	0.585457	38.999	-5.87154	-5.86485	40.2468	-5.27956	-5.27939	0.0439168	-0.843254	-0.826156	0.0264088



















