timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.383111	0.383111	0	0.572422	0.572422	0	-7.41517	-7.41517	0	-6.84275	-6.84275	0	-0.311305	-0.311305	0
100201	0.409016	0.385662	0.000396269	0.611128	0.576233	57.9766	-7.45395	-7.41895	58.1845	-6.84282	-6.84272	0.000221862	-0.494175	-0.298829	0.023703
100401	0.397253	0.387744	0.000229027	0.593552	0.579344	33.5081	-7.43631	-7.42207	33.6277	-6.84276	-6.84273	0.000156346	-0.401041	-0.319941	0.0137153
100601	0.381076	0.387685	0.000230753	0.569382	0.579255	33.7606	-7.41209	-7.42198	33.8564	-6.84271	-6.84273	0.00011183	-0.279478	-0.322536	0.0133494
100801	0.36803	0.388606	0.000216309	0.549889	0.580633	31.6474	-7.39254	-7.42335	31.7205	-6.84265	-6.84272	0.000104138	-0.173988	-0.329726	0.0123324
101001	0.393547	0.387895	0.00023282	0.588014	0.57957	34.0631	-7.43067	-7.42228	34.1399	-6.84265	-6.84271	0.000118837	-0.372484	-0.323383	0.0131094
101201	0.389854	0.387307	0.000227757	0.582497	0.578691	33.3223	-7.4252	-7.42139	33.4007	-6.84271	-6.8427	0.000130776	-0.333421	-0.320457	0.0126333
101401	0.411325	0.387601	0.00024478	0.614577	0.579131	35.8129	-7.45735	-7.42183	35.8913	-6.84278	-6.8427	0.000120855	-0.513046	-0.324561	0.013163
101601	0.412548	0.38768	0.000277098	0.616405	0.579248	40.5412	-7.45922	-7.42195	40.6318	-6.84281	-6.84271	0.000124409	-0.514953	-0.325629	0.0150741
101801	0.385472	0.387858	0.000280647	0.575949	0.579515	41.0604	-7.41857	-7.42222	41.1678	-6.84262	-6.84271	0.000157706	-0.324302	-0.327381	0.0152304
102001	0.372568	0.388306	0.000258856	0.556668	0.580184	37.8723	-7.39936	-7.42289	37.9706	-6.84269	-6.84271	0.000158827	-0.216624	-0.331074	0.0140646
102201	0.367101	0.388029	0.000276088	0.548501	0.57977	40.3934	-7.39116	-7.42247	40.4922	-6.84266	-6.8427	0.000150783	-0.180524	-0.329866	0.0150722
