timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.538227	0.538227	0	0.804187	0.804187	0	-7.273	-7.273	0	-6.46881	-6.46881	0	0.61642	0.61642	0
100201	0.565421	0.513104	0.000642825	0.844818	0.766649	94.0493	-7.31384	-7.23551	94.3179	-6.46903	-6.46886	0.000435601	0.453118	0.82062	0.0327982
100401	0.525713	0.521204	0.000717506	0.785489	0.778753	104.976	-7.25445	-7.24766	105.318	-6.46896	-6.46891	0.000451634	0.741579	0.767757	0.0366171
100601	0.523079	0.520941	0.000505186	0.781553	0.77836	73.9119	-7.25047	-7.24728	74.149	-6.46891	-6.46892	0.000324789	0.747444	0.771573	0.0260591
100801	0.517013	0.523526	0.000495103	0.77249	0.782221	72.4367	-7.24131	-7.25114	72.6583	-6.46882	-6.46892	0.000297587	0.814777	0.752935	0.0256437
101001	0.55168	0.522254	0.000476513	0.824288	0.780321	69.7169	-7.29328	-7.24923	69.9465	-6.469	-6.46891	0.000306662	0.551394	0.765669	0.0249297
101201	0.507215	0.521454	0.000475732	0.75785	0.779125	69.6026	-7.22666	-7.24803	69.8578	-6.46881	-6.4689	0.000358794	0.838248	0.768608	0.024605
101401	0.524161	0.523703	0.000496103	0.78317	0.782486	72.5829	-7.25201	-7.25139	72.8284	-6.46884	-6.4689	0.00033152	0.740173	0.748818	0.0266715
101601	0.521219	0.520979	0.000516255	0.778774	0.778415	75.5314	-7.24754	-7.24729	75.8587	-6.46877	-6.46888	0.000676869	0.755014	0.768537	0.0273223
101801	0.509232	0.521405	0.000554925	0.760864	0.779053	81.1891	-7.22968	-7.24793	81.4895	-6.46881	-6.46887	0.000623745	0.838438	0.764116	0.0293327
102001	0.507406	0.52144	0.000510489	0.758136	0.779104	74.6877	-7.22698	-7.24797	74.9582	-6.46885	-6.46887	0.000575253	0.841988	0.762928	0.026912
102201	0.523081	0.522037	0.00048816	0.781557	0.779996	71.4208	-7.25037	-7.24886	71.6733	-6.46881	-6.46887	0.000536466	0.751192	0.759168	0.0256195
102401	0.506151	0.521999	0.000477894	0.756261	0.77994	69.9188	-7.22512	-7.2488	70.1558	-6.46886	-6.46886	0.00049954	0.868221	0.758998	0.0250496
102601	0.509873	0.521874	0.000456758	0.761821	0.779752	66.8265	-7.23065	-7.24861	67.0467	-6.46882	-6.46886	0.000480434	0.866143	0.760164	0.024022
102801	0.531383	0.520936	0.000445016	0.793961	0.778352	65.1086	-7.26279	-7.24721	65.324	-6.46883	-6.46886	0.000468409	0.705121	0.766907	0.0234134
103001	0.530006	0.521013	0.00042297	0.791903	0.778467	61.8831	-7.26081	-7.24732	62.0837	-6.46891	-6.46886	0.00043833	0.695276	0.766668	0.0222069
103201	0.514992	0.521247	0.000410577	0.769471	0.778816	60.07	-7.23838	-7.24767	60.2621	-6.4689	-6.46886	0.000420937	0.821447	0.764429	0.0216548
103401	0.523997	0.521664	0.000397729	0.782925	0.779439	58.1902	-7.25175	-7.2483	58.3766	-6.46882	-6.46886	0.000405812	0.737992	0.761272	0.0210257
103601	0.50292	0.521766	0.000393051	0.751433	0.779592	57.5058	-7.22027	-7.24845	57.6907	-6.46884	-6.46886	0.000393722	0.857993	0.759506	0.0206753
103801	0.514943	0.521533	0.000383076	0.769397	0.779244	56.0465	-7.23821	-7.2481	56.2297	-6.46882	-6.46886	0.000408739	0.796178	0.760704	0.0201675
104001	0.542463	0.521659	0.000373474	0.810516	0.779432	54.6416	-7.27946	-7.24829	54.82	-6.46894	-6.46886	0.000392193	0.616201	0.760531	0.0196148
104201	0.520902	0.521303	0.000372034	0.778301	0.778899	54.4309	-7.24708	-7.24775	54.6103	-6.46878	-6.46886	0.000392975	0.788819	0.763739	0.0196895
104401	0.492024	0.521249	0.000361467	0.735153	0.778819	52.8849	-7.20399	-7.24767	53.0571	-6.46883	-6.46885	0.000377039	0.932595	0.763992	0.01899
104601	0.524153	0.521559	0.000371777	0.783159	0.779283	54.3933	-7.25197	-7.24814	54.5683	-6.46881	-6.46886	0.000370034	0.745415	0.761218	0.019427
104801	0.52712	0.521675	0.000362628	0.787592	0.779456	53.0548	-7.25644	-7.24831	53.2227	-6.46885	-6.46886	0.000356315	0.733464	0.760549	0.018908
105001	0.51903	0.521307	0.000360612	0.775504	0.778906	52.7598	-7.24435	-7.24776	52.9236	-6.46885	-6.46886	0.000344001	0.774399	0.763027	0.0187987
