time-step	lambda
0	-0.999984
1	-0.999938
2	-0.99986
3	-0.999751
4	-0.999611
5	-0.99944
6	-0.999238
7	-0.999006
8	-0.998744
9	-0.998452
10	-0.998129
11	-0.997778
12	-0.997397
13	-0.996988
14	-0.99655
15	-0.996085
16	-0.995592
17	-0.995072
18	-0.994525
19	-0.993952
20	-0.993354
21	-0.992732
22	-0.992085
23	-0.991414
24	-0.990721
25	-0.990005
26	-0.989268
27	-0.98851
28	-0.987732
29	-0.986934
30	-0.986119
31	-0.985285
32	-0.984435
33	-0.983569
34	-0.982688
35	-0.981792
36	-0.980884
37	-0.979963
38	-0.979031
39	-0.978088
40	-0.977136
41	-0.976175
42	-0.975207
43	-0.974232
44	-0.973252
45	-0.972267
46	-0.971278
47	-0.970287
48	-0.969295
49	-0.968302
50	-0.967309
51	-0.966318
52	-0.965329
53	-0.964343
54	-0.963362
55	-0.962386
56	-0.961416
57	-0.960453
58	-0.959498
59	-0.958552
60	-0.957616
61	-0.95669
62	-0.955776
63	-0.954873
64	-0.953984
65	-0.953107
66	-0.952246
67	-0.951398
68	-0.950567
69	-0.949751
70	-0.948952
71	-0.94817
72	-0.947406
73	-0.94666
74	-0.945932
75	-0.945223
76	-0.944533
77	-0.943862
78	-0.943211
79	-0.94258
80	-0.941969
81	-0.941378
82	-0.940808
83	-0.940257
84	-0.939727
85	-0.939218
86	-0.938729
87	-0.93826
88	-0.937811
89	-0.937383
90	-0.936974
91	-0.936585
92	-0.936216
93	-0.935866
94	-0.935535
95	-0.935223
96	-0.934929
97	-0.934653
98	-0.934396
99	-0.934156
100	-0.933933
101	-0.933726
102	-0.933536
103	-0.933362
104	-0.933204
105	-0.933061
106	-0.932932
107	-0.932818
108	-0.932718
109	-0.932631
110	-0.932557
111	-0.932496
112	-0.932446
113	-0.932409
114	-0.932383
115	-0.932367
116	-0.932362
117	-0.932366
118	-0.932381
119	-0.932404
120	-0.932436
121	-0.932476
122	-0.932524
123	-0.932579
124	-0.932642
125	-0.932711
126	-0.932786
127	-0.932868
128	-0.932955
129	-0.933047
130	-0.933144
131	-0.933246
132	-0.933352
133	-0.933462
134	-0.933576
135	-0.933693
136	-0.933813
137	-0.933936
138	-0.934062
139	-0.93419
140	-0.93432
141	-0.934452
142	-0.934585
143	-0.93472
144	-0.934857
145	-0.934994
146	-0.935133
147	-0.935272
148	-0.935412
149	-0.935552
150	-0.935693
151	-0.935834
152	-0.935975
153	-0.936116
154	-0.936256
155	-0.936397
156	-0.936537
157	-0.936677
158	-0.936816
159	-0.936955
160	-0.937094
161	-0.937231
162	-0.937368
163	-0.937505
164	-0.93764
165	-0.937775
166	-0.937909
167	-0.938042
168	-0.938174
169	-0.938305
170	-0.938436
171	-0.938565
172	-0.938694
173	-0.938822
174	-0.938949
175	-0.939076
176	-0.939201
177	-0.939326
178	-0.939449
179	-0.939572
180	-0.939695
181	-0.939816
182	-0.939937
183	-0.940057
184	-0.940177
185	-0.940296
186	-0.940414
187	-0.940531
188	-0.940648
189	-0.940765
190	-0.940881
191	-0.940996
192	-0.941111
193	-0.941225
194	-0.941339
195	-0.941453
196	-0.941566
197	-0.941679
198	-0.941791
199	-0.941903
200	-0.942014
201	-0.942125
202	-0.942236
203	-0.942347
204	-0.942457
205	-0.942567
206	-0.942676
207	-0.942785
208	-0.942894
209	-0.943002
210	-0.94311
211	-0.943218
212	-0.943325
213	-0.943432
214	-0.943539
215	-0.943645
216	-0.943751
217	-0.943856
218	-0.943961
219	-0.944066
220	-0.94417
221	-0.944273
222	-0.944376
223	-0.944479
224	-0.944581
225	-0.944682
226	-0.944783
227	-0.944883
228	-0.944983
229	-0.945082
230	-0.94518
231	-0.945277
232	-0.945374
233	-0.94547
234	-0.945566
235	-0.94566
236	-0.945754
237	-0.945847
238	-0.945939
239	-0.94603
240	-0.94612
241	-0.94621
242	-0.946298
243	-0.946386
244	-0.946472
245	-0.946557
246	-0.946642
247	-0.946725
248	-0.946807
249	-0.946888
250	-0.946968
251	-0.947047
252	-0.947124
253	-0.9472
254	-0.947276
255	-0.947349
256	-0.947422
257	-0.947493
258	-0.947563
259	-0.947631
260	-0.947698
261	-0.947764
262	-0.947828
263	-0.947891
264	-0.947952
265	-0.948012
266	-0.94807
267	-0.948127
268	-0.948182
269	-0.948235
270	-0.948287
271	-0.948337
272	-0.948386
273	-0.948433
274	-0.948478
275	-0.948521
276	-0.948563
277	-0.948603
278	-0.948641
279	-0.948677
280	-0.948712
281	-0.948745
282	-0.948776
283	-0.948805
284	-0.948833
285	-0.948859
286	-0.948882
287	-0.948904
288	-0.948925
289	-0.948943
290	-0.94896
291	-0.948975
292	-0.948988
293	-0.948999
294	-0.949009
295	-0.949017
296	-0.949023
297	-0.949028
298	-0.949031
299	-0.949032
300	-0.949032
301	-0.94903
302	-0.949027
303	-0.949023
304	-0.949017
305	-0.949009
306	-0.949001
307	-0.948991
308	-0.948979
309	-0.948967
310	-0.948954
311	-0.948939
312	-0.948924
313	-0.948908
314	-0.948891
315	-0.948873
316	-0.948854
317	-0.948835
318	-0.948815
319	-0.948794
320	-0.948774
321	-0.948752
322	-0.948731
323	-0.948709
324	-0.948687
325	-0.948664
326	-0.948642
327	-0.94862
