time-step	lambda
0	-0.999938
1	-0.99975
2	-0.999439
3	-0.999003
4	-0.998443
5	-0.99776
6	-0.996955
7	-0.996029
8	-0.994982
9	-0.993816
10	-0.992533
11	-0.991133
12	-0.989619
13	-0.987992
14	-0.986254
15	-0.984408
16	-0.982456
17	-0.980399
18	-0.978241
19	-0.975985
20	-0.973633
21	-0.971188
22	-0.968654
23	-0.966034
24	-0.963332
25	-0.960551
26	-0.957695
27	-0.954769
28	-0.951775
29	-0.94872
30	-0.945606
31	-0.942439
32	-0.939223
33	-0.935964
34	-0.932665
35	-0.929332
36	-0.925971
37	-0.922585
38	-0.919181
39	-0.915763
40	-0.912336
41	-0.908907
42	-0.905478
43	-0.902057
44	-0.898647
45	-0.895254
46	-0.891882
47	-0.888536
48	-0.885219
49	-0.881937
50	-0.878693
51	-0.87549
52	-0.872333
53	-0.869224
54	-0.866166
55	-0.863161
56	-0.860213
57	-0.857322
58	-0.854491
59	-0.85172
60	-0.849012
61	-0.846366
62	-0.843783
63	-0.841264
64	-0.838807
65	-0.836414
66	-0.834084
67	-0.831815
68	-0.829607
69	-0.827458
70	-0.825369
71	-0.823336
72	-0.821359
73	-0.819436
74	-0.817566
75	-0.815746
76	-0.813975
77	-0.812251
78	-0.810573
79	-0.808937
80	-0.807343
81	-0.805789
82	-0.804273
83	-0.802792
84	-0.801346
85	-0.799933
86	-0.79855
87	-0.797197
88	-0.795872
89	-0.794574
90	-0.793301
91	-0.792051
92	-0.790825
93	-0.789619
94	-0.788435
95	-0.787269
96	-0.786122
97	-0.784993
98	-0.78388
99	-0.782784
100	-0.781703
101	-0.780636
102	-0.779584
103	-0.778546
104	-0.777521
105	-0.776509
106	-0.775509
107	-0.774522
108	-0.773547
109	-0.772584
110	-0.771632
111	-0.770692
112	-0.769764
113	-0.768847
114	-0.767941
115	-0.767047
116	-0.766165
117	-0.765294
118	-0.764435
119	-0.763588
120	-0.762753
121	-0.761931
122	-0.76112
123	-0.760323
124	-0.759538
125	-0.758767
126	-0.758008
127	-0.757264
128	-0.756533
129	-0.755817
130	-0.755115
131	-0.754428
132	-0.753757
133	-0.7531
134	-0.752459
135	-0.751834
136	-0.751226
137	-0.750633
138	-0.750058
139	-0.749499
140	-0.748957
141	-0.748433
142	-0.747927
143	-0.747438
144	-0.746967
145	-0.746514
146	-0.74608
147	-0.745664
148	-0.745266
149	-0.744886
150	-0.744526
151	-0.744183
152	-0.743859
153	-0.743554
154	-0.743267
155	-0.742998
156	-0.742748
157	-0.742516
158	-0.742302
159	-0.742105
160	-0.741926
161	-0.741765
162	-0.741621
163	-0.741494
164	-0.741383
165	-0.741289
166	-0.741211
167	-0.741148
168	-0.741101
169	-0.74107
170	-0.741052
171	-0.74105
172	-0.741061
173	-0.741085
174	-0.741123
175	-0.741174
176	-0.741237
177	-0.741312
178	-0.741399
179	-0.741496
180	-0.741605
181	-0.741723
182	-0.741852
183	-0.741989
184	-0.742136
185	-0.742291
186	-0.742454
187	-0.742625
188	-0.742802
189	-0.742987
190	-0.743178
191	-0.743375
192	-0.743577
193	-0.743784
194	-0.743996
195	-0.744212
196	-0.744432
197	-0.744656
198	-0.744882
199	-0.745111
200	-0.745343
201	-0.745576
202	-0.745811
203	-0.746048
204	-0.746285
205	-0.746523
206	-0.746761
207	-0.746999
208	-0.747236
209	-0.747473
210	-0.747709
211	-0.747944
212	-0.748177
213	-0.748408
214	-0.748637
215	-0.748864
216	-0.749087
217	-0.749308
218	-0.749525
219	-0.749738
220	-0.749948
221	-0.750153
222	-0.750354
223	-0.75055
224	-0.75074
225	-0.750925
226	-0.751105
227	-0.751278
228	-0.751445
229	-0.751604
230	-0.751757
231	-0.751903
232	-0.752041
233	-0.752171
234	-0.752293
235	-0.752407
236	-0.752512
237	-0.752608
238	-0.752696
239	-0.752774
240	-0.752843
241	-0.752902
242	-0.752953
243	-0.752993
244	-0.753025
245	-0.753047
246	-0.75306
247	-0.753064
248	-0.753059
249	-0.753045
250	-0.753023
251	-0.752993
252	-0.752955
253	-0.75291
254	-0.752858
255	-0.752799
256	-0.752734
257	-0.752663
258	-0.752587
259	-0.752507
260	-0.752423
261	-0.752335
262	-0.752244
263	-0.752151
264	-0.752056
265	-0.75196
266	-0.751862
267	-0.751765
268	-0.751668
269	-0.751572
270	-0.751476
271	-0.751383
272	-0.751291
273	-0.751202
274	-0.751116
275	-0.751032
276	-0.750952
277	-0.750875
278	-0.750802
279	-0.750733
280	-0.750668
281	-0.750608
282	-0.750551
283	-0.750499
284	-0.75045
285	-0.750406
286	-0.750367
287	-0.750331
288	-0.7503
289	-0.750273
290	-0.750249
291	-0.750229
292	-0.750214
293	-0.750201
294	-0.750192
295	-0.750187
296	-0.750184
297	-0.750185
298	-0.750189
299	-0.750196
300	-0.750205
301	-0.750217
302	-0.750232
303	-0.75025
304	-0.75027
305	-0.750292
306	-0.750318
307	-0.750345
308	-0.750376
309	-0.750409
310	-0.750446
311	-0.750485
312	-0.750527
313	-0.750573
314	-0.750622
315	-0.750675
316	-0.750732
317	-0.750793
318	-0.750859
319	-0.750929
320	-0.751005
321	-0.751086
322	-0.751172
323	-0.751265
324	-0.751364
325	-0.75147
326	-0.751583
327	-0.751703
328	-0.751831
329	-0.751967
330	-0.752111
331	-0.752263
332	-0.752424
333	-0.752595
334	-0.752774
335	-0.752963
336	-0.753161
337	-0.753368
338	-0.753586
339	-0.753813
340	-0.75405
341	-0.754297
342	-0.754553
343	-0.75482
344	-0.755096
345	-0.755382
346	-0.755678
347	-0.755983
348	-0.756297
349	-0.756621
350	-0.756953
351	-0.757295
352	-0.757644
353	-0.758003
354	-0.758369
355	-0.758743
356	-0.759125
357	-0.759513
358	-0.759909
359	-0.760311
360	-0.760719
361	-0.761133
362	-0.761552
363	-0.761976
364	-0.762405
365	-0.762838
366	-0.763274
367	-0.763714
368	-0.764156
369	-0.764601
370	-0.765048
371	-0.765496
372	-0.765945
373	-0.766395
374	-0.766845
375	-0.767296
376	-0.767745
377	-0.768194
378	-0.768642
379	-0.769089
380	-0.769534
381	-0.769977
382	-0.770418
383	-0.770856
384	-0.771293
385	-0.771726
386	-0.772157
387	-0.772585
388	-0.77301
389	-0.773431
390	-0.77385
391	-0.774265
392	-0.774676
393	-0.775084
394	-0.775489
395	-0.77589
396	-0.776287
397	-0.77668
398	-0.77707
399	-0.777455
400	-0.777837
401	-0.778214
402	-0.778587
403	-0.778956
404	-0.77932
405	-0.779681
406	-0.780036
407	-0.780387
408	-0.780733
409	-0.781075
410	-0.781411
411	-0.781743
412	-0.782069
413	-0.782391
414	-0.782707
415	-0.783017
416	-0.783323
417	-0.783622
418	-0.783916
419	-0.784205
420	-0.784487
421	-0.784764
422	-0.785036
423	-0.785301
424	-0.785561
425	-0.785814
426	-0.786062
427	-0.786305
428	-0.786542
429	-0.786773
430	-0.786999
431	-0.787219
432	-0.787435
433	-0.787646
434	-0.787852
435	-0.788053
436	-0.78825
437	-0.788443
438	-0.788633
439	-0.788819
440	-0.789002
441	-0.789181
442	-0.789358
443	-0.789533
444	-0.789705
445	-0.789876
446	-0.790044
447	-0.790212
448	-0.790378
449	-0.790543
450	-0.790707
451	-0.790871
452	-0.791034
453	-0.791196
454	-0.791359
455	-0.791521
456	-0.791683
457	-0.791845
458	-0.792007
459	-0.792169
460	-0.792331
461	-0.792492
462	-0.792654
463	-0.792816
464	-0.792977
465	-0.793137
466	-0.793298
467	-0.793457
468	-0.793616
469	-0.793774
470	-0.793931
471	-0.794087
472	-0.794241
473	-0.794394
474	-0.794545
475	-0.794694
476	-0.794841
477	-0.794986
478	-0.795129
479	-0.795269
480	-0.795406
481	-0.795541
482	-0.795673
483	-0.795801
484	-0.795927
485	-0.79605
486	-0.796169
487	-0.796284
488	-0.796396
489	-0.796505
490	-0.79661
491	-0.796711
492	-0.796808
493	-0.796901
494	-0.796991
495	-0.797076
496	-0.797158
497	-0.797235
498	-0.797309
499	-0.797378
500	-0.797443
501	-0.797505
502	-0.797562
503	-0.797614
504	-0.797663
505	-0.797708
506	-0.797749
507	-0.797785
508	-0.797818
509	-0.797847
510	-0.797872
511	-0.797893
512	-0.797911
513	-0.797925
514	-0.797936
515	-0.797945
516	-0.79795
517	-0.797953
518	-0.797953
519	-0.797952
520	-0.797948
521	-0.797943
522	-0.797937
523	-0.79793
524	-0.797923
525	-0.797915
526	-0.797907
527	-0.7979
528	-0.797894
529	-0.797889
530	-0.797886
531	-0.797885
532	-0.797886
533	-0.79789
534	-0.797897
535	-0.797908
536	-0.797923
537	-0.797942
538	-0.797965
539	-0.797994
540	-0.798028
541	-0.798067
542	-0.798113
543	-0.798165
544	-0.798223
545	-0.798289
546	-0.798361
