T_{set}            	T_{sys}              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
2.0	1.10191	1.06268	0.00134809	1.64642	1.58779	197.234	-6.62052	-6.56196	197.421	-4.9741	-4.97417	0.000608152	4.74337	4.99487	0.0660846
1.5	0.837555	0.791243	0.000728186	1.25143	1.18223	106.538	-6.97299	-6.90367	106.716	-5.72156	-5.72144	0.000473414	2.56635	2.89862	0.0368087
1.0	0.529161	0.521417	0.000350141	0.79064	0.77907	51.2278	-7.25961	-7.24792	51.3733	-6.46897	-6.46885	0.000339285	0.702386	0.760886	0.0184612
0.8	0.406406	0.414506	0.000208111	0.607228	0.61933	30.448	-7.37504	-7.38721	30.5482	-6.76781	-6.76788	0.000255814	-0.0102494	-0.11281	0.011173
0.75	0.394571	0.38808	0.000188992	0.589544	0.579846	27.6507	-7.43225	-7.42251	27.7515	-6.8427	-6.84266	0.000273194	-0.376266	-0.333001	0.0101045
0.7	0.367449	0.361478	0.000158137	0.549021	0.540099	23.1365	-7.46644	-7.45752	23.2292	-6.91742	-6.91742	0.000273069	-0.607143	-0.554985	0.00854309
0.65	0.322486	0.335122	0.000138003	0.48184	0.500719	20.1907	-7.47401	-7.49293	20.2684	-6.99217	-6.99221	0.000201284	-0.695072	-0.776081	0.00751615
0.6	0.325255	0.308787	0.00012157	0.485977	0.461371	17.7864	-7.55296	-7.52836	17.8593	-7.06698	-7.06699	0.000216333	-1.10645	-0.999471	0.0066716
0.5	0.269257	0.256287	8.11211e-05	0.402308	0.382929	11.8685	-7.61887	-7.59948	11.9245	-7.21656	-7.21655	0.000169795	-1.55645	-1.44885	0.00444767
0.3	0.145111	0.152415	3.06763e-05	0.216816	0.227729	4.48813	-7.73256	-7.74348	4.51346	-7.51574	-7.51575	7.8325e-05	-2.29954	-2.36177	0.00169638
0.1	0.0507316	0.0502838	3.09365e-06	0.0758002	0.0751311	0.45262	-7.89082	-7.89013	0.455502	-7.81502	-7.815	1.28793e-05	-3.29568	-3.29498	0.000180917



